;Europe;;;;;;;;Spain;;;;;;;
Date;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;NewRecovered;ActiveCases;Serious,Critical;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;NewRecovered;ActiveCases;Serious,Critical
19/10/2020;7164619;138242;240143;1060;3229985;N/A;3694491;13526;1015795;12214;33992;73;N/A;N/A;N/A;1857
20/10/2020;7320148;155529;241934;1791;3266032;N/A;3812182;17449;1029668;13873;34210;218;N/A;N/A;N/A;1911
21/10/2020;7505024;184876;243650;1716;3305006;N/A;3956368;14402;1046641;16973;33660;156;N/A;N/A;N/A;1930
22/10/2020;7741058;203008;245452;1740;3337039;N/A;4158567;14902;1090521;20986;34521;155;N/A;N/A;N/A;1966
23/10/2020;7988513;231391;247496;1988;3386859;N/A;4354158;15446;1110372;19851;34752;231;N/A;N/A;N/A;2031
24/10/2020;8194322;205809;249113;1617;3426746;N/A;4518463;15884;1110372;;34752;;N/A;N/A;N/A;2031
25/10/2020;8424260;214866;250620;1414;3456228;N/A;4717412;16376;1139102;13658;34938;93;N/A;N/A;N/A;2031
26/10/2020;8628924;204664;252214;1594;3496594;40214;4880116;17158;1156498;17396;35031;93;N/A;N/A;N/A;2163
27/10/2020;8846866;212732;254921;2694;3541156;52059;5050789;18049;1174916;18418;35298;267;N/A;N/A;N/A;2292
28/10/2020;9097584;238134;257413;2423;3597168;48667;5243003;18960;1194681;19765;35466;168;N/A;N/A;N/A;2368
29/10/2020;9137213;319760;257804;3010;3615059;10126;5264350;19051;1194681;;35466;;N/A;N/A;N/A;2368
30/10/2020;9711753;299923;263093;3032;3723560;59414;5725100;20714;1264517;25595;35878;239;N/A;N/A;N/A;2482
31/10/2020;9946851;235098;265547;2454;3778043;54483;5903261;21208;1264517;;35878;;N/A;N/A;N/A;2482
01/11/2020;10166972;220121;267382;1835;3825507;47464;6074083;21766;1264517;;35878;;N/A;N/A;N/A;2482
02/11/2020;10461561;251083;270089;2325;3912830;N/A;6278642;22686;1313087;18340;36257;127;N/A;N/A;N/A;2650
03/11/2020;10700983;239422;273947;3858;3991137;78307;6435899;23802;1331756;18669;36495;238;N/A;N/A;N/A;2754
04/11/2020;109850148;287853;279209;3916;4080055;88918;6625884;24680;1343987;19937;38118;297;N/A;N/A;N/A;2786
05/11/2020;11263946;278798;282445;3236;4149226;69171;6832275;25089;1365895;21908;38486;368;N/A;N/A;N/A;2802
